tweet_id,text,labels
'262683360722288643',@ArmedForAriana lucky lol. In in the middle of the hurricane now,"[0, 1]"
'263008429973569537',Wind damage. (at @apollotheater) [pic]  http://t.co/9x3HWbSQ,"[0, 1]"
'262935634770030592',I can now say I've stood in the #Gowanus. The water is creeping up 2nd Street. http://t.co/IKoAxLXF,"[0, 1]"
'263284956648845312',"// 6y.o. said Mom, remember that hurricane storm last night? Ah, youth! Totally forgot she turns 7 on Thursday.","[0, 1]"
'262757662167547904',"RT @MittStormTips: I have a five point plan to get us through this hurricane, and I will give you all the details next week. #MittStormT ...","[0, 1]"
'263321422271741952',Hurricane #Sandy: Crisis Preparedness and Safety Tips from the Pros -  @bernsteincrisis @kfreberg & @melissa_agnes http://t.co/2d52ksHg,"[0, 1]"
'263385694460862465',@NourhanHeikal look at a tweet I retweeted,"[1, 0]"
'262444245980434432',New @couscousnj shirt. Going to wear it to cous cous just to confuse  the shit out of customers there. http://t.co/5DhcHGfK,"[1, 0]"
'262608770524393472',RT @_Snape_: Sandy isn't a very threatening name for a Halloween hurricane. A much scarier name would be Hurricane Umbridge. #hurricanesandy,"[0, 1]"
'263101406041501698',"The fact i have No light, No cable &amp; No wifi Makes the whole Sandy Situation Worse","[0, 1]"
'263389573810376705',Hurricane Sandy disrupts East Coast operations – will you be #teleworking? http://t.co/Ku1SguPn,"[0, 1]"
'263102000084967424',I really don't care about this hurricane. Lets all shut up now okay?,"[0, 1]"
'262620618518827008',"RT @dpickering11: Everyone needs to chill about this damn hurricane. We can't do shit to prevent it. So sit back, grab a few drinks and  ...","[0, 1]"
'262671790457892864',Unacceptable defense by #NYG here,"[1, 0]"
'263307998070444032',She pregnant due in 2 weeks and drove all the way to Jersey in the hurricane just because my brother didn't drop the kids off in the STORM,"[0, 1]"
'262963602728833025',NO SCHOOL TOMORROW EITHER IM SO HAPPY,"[1, 0]"
'263072482255327232',Singing thinking about you during the hurricane with my brother #nolifes,"[0, 1]"
'262652891997806592',@PancakeLady What's the wind like out in Brooklyn at the mo? Whipping up something fierce here in the city,"[1, 0]"
'263222438110830592',"NYC could use a little of the impossible today. @INGNYCMarathon: Bid me run, and I will strive with things impossible. -Shakespeare","[1, 0]"
'262436349645307904',This guy has no shirt,"[1, 0]"
'262754438807162881',((((I've always wanted I be in a group iPhone chat)))))),"[1, 0]"
'263182907051479040',"@real_Serrano: fuck it, lets attempt to sleep! No I won't sleep with you! Lol damn didn't you see my tweet before? Hahaha jk #YoureNotGay","[1, 0]"
'263328380362035201',Wishes n prayers fr the ppl on the East Coast! Hope everyone stays safe..#Hurricane #Sandy,"[0, 1]"
'262641089905827841',RT @TheFatAmy: My feelings about the hurricane. http://t.co/CfvfCtrS,"[0, 1]"
'262641865097089024',"@normberge Well, there's a hurricane coming... And I'm going out to a movie and then getting beer for tomorrow when I'm going to stay inside","[0, 1]"
'263153967217901568',"Come over and let's play with the Ouija board, we'll find out why you like those ghost shows with the quickness -Matt ahahhahahah","[1, 0]"
'262392067534249984',LMFAOO  @BollyWoodsOwn: If you text me right now prepare for a long ass conversation,"[1, 0]"
'263298530884591617',RT @CrazyHoneyBooBo: Hurricane Sandy wouldn't be here if Patrick would've just stopped making fun of Texas.,"[0, 1]"
'262348421376114688',RT @coltford: Y'all say a Prayer for everyone in the path of this Hurricane Sandy. God Bless y'all stay Safe,"[0, 1]"
'262747364962492416',@wunderground we recorded the highest gust in NJ during Irene so far gust to 54mph http://t.co/PBC9c52s,"[0, 1]"
'262789987311955968',Soo theres a hurricane comming and i have my ac on lmao,"[0, 1]"
'262641107983290370',"@15wrighta um theres this thing called a hurricane coming, so I cant","[0, 1]"
'262741704329789441',RT @hurricannesandy: FOUR FOR YOU HURRICANE SANDY! YOU GO HURRICANE SANDY! AND NONE FOR HURRICANE IRENE BYE.,"[0, 1]"
'263072171662913537',"2 chicks Russian &amp; Columbian said; they are call girls doing business VIA craigslist, Sandy has been great for biz-got over100 calls today.","[1, 0]"
'262866908557221890',Hurricane Sandy: Use TE Patch For Updates - http://t.co/dHSBgnlF: Hurricane Sandy: Use TE Patch For UpdatesPatch.... http://t.co/ueJ8lVYA,"[0, 1]"
'263049327268737024',Dey dne found two sharks so far smh yupp its real out here,"[0, 1]"
'263130818778640384',Check out a video of Hurricane Sandy by NASA on YouTube. Amaze~,"[0, 1]"
'263060018604171264',@toodopekay_ yea lets hope it pass us quick,"[0, 1]"
'262404311223504896',"I'm at Mad River Bar &amp; Grille (New York, NY) http://t.co/VSiZrzKP","[1, 0]"
'263402228335910912',Hurricane Sandy Live Stream | The Maldito Roedor | Bilingual Curation of News & Analysis http://t.co/370nhuGo,"[0, 1]"
'262394921904926720',"RT @wralweather: Hurricane #Sandy is 419 miles SE of Raleigh, moving NE at 14 mph. Max winds 75 mph (Cat 1). http://t.co/I8w7YuBS #ncwx","[0, 1]"
'263382411629432832',RT @2xWestSideNigga: O'Yeah & Why it gotta be called  #Hurricane  why it can't be Called  #BigAssSpinningWaveThatsGoneKillYoAssSo ...,"[0, 1]"
'262671367198109696',RT @Twistedlilkitty: Hurricane porn. Drawn in a bar. (No idea what the stain is.) http://t.co/PZzfaL9S,"[0, 1]"
'262647646412488704',Tropical Storm my first time in New York?  #ThanksSandy #EverythingsClosed  #Gayyyy,"[0, 1]"
'262378012056641536',@nikki4_love1D snow white haha short cut,"[1, 0]"
'262692195042205697',Heartbroken and proud at the same dame time. Mostly heartbroken.,"[1, 0]"
'262390530405720064',RT @HurricaaneSandy: I WENT TO HIGHSCHOOL WIT IRENE. SHE CAN'T EVEN TWERK. SHE AIN'T BOUT DAT HURRICANE LYFE.,"[0, 1]"
'262765462620864512',You feeling froggy ? Leap nigga !,"[1, 0]"
'263102116208447489',RT @FarahFadel1: So when is Fox News blaming an Arab/Muslim for this Hurricane?,"[0, 1]"
'263149013510008832',"Sandy, you are seriously a B #Sandy #abcliving","[0, 1]"
'263051121256448000',@Real_Liam_Payne a follow would be the best halloween present everrrr better than candy!,"[1, 0]"
'263099699903479808',@thalializeth Ughh if the carpet is soaked I will be an angry bitch. The world will see a gay Hulk!,"[1, 0]"
'262737128109248512',RT @AHurricaneSandy: OH SHIT JUST DESTROYED A STARBUCKS. NOW I'M A PUMPKIN SPICE HURRICANE.,"[0, 1]"
'262670581764325377',RT @aSandyHurricane: BLOWIN SO MANY NIGGAS THEY SHOULD CALL ME HURRICANE SANDY KARDASHIAN.,"[0, 1]"
'263097189784489985',“@__Otis__: Meanwhile.. Facebook is playing the numbers game.. totally oblivious to this hurricane..” &lt;----,"[0, 1]"
'262611948976345088',Hurricane Sandy: 5 things to know http://t.co/UmqDsIVg,"[0, 1]"
'263365448681259008',RT @WolfpackAlan: They should name the hurricane A-Rod. Then it won't hit anything.,"[0, 1]"
'263071248186220545',Bay Street is flooded and mobile ave has no power... I just any win,"[0, 1]"
'263379774339178496',#huffingtongpost Celebrities React To Hurricane Sandy #masdirin,"[0, 1]"
'262551058843308032',Hurricane Sandy on her way O___O,"[0, 1]"
'262895443007131648',This Week In Small Business: Frankenstorm! http://t.co/zmuvgoSf,"[1, 0]"
'262943733622915072',This is a WET day #Winkwink so call up a hurricane buddy and stay in bed!,"[0, 1]"
'263105543823060992',The end of the world in Gotham #nofilter @ Frankenstorm Apocalypse - Hurricane Sandy http://t.co/LPRJnmCL,"[0, 1]"
'262773974465933312',@ModernSuccubus lmao yea some not all !! but we def need too !,"[1, 0]"
'263122294107414528',pretty ricky used to b the shit well when  pleasure was in it,"[1, 0]"
'263023091897221121',I want 1st marking period to end already!,"[1, 0]"
'262418299109920768',@NICKIMINAJ on my way to BWI airport. I'm going to your house until Hurricane Sandy is over. I promise I'll keep it clean.,"[0, 1]"
'263106235585400833',just letting all the falpals out there know that I'm alright. Jimmy is alright too. I'm on the same street as him &amp; the weather is fine :),"[1, 0]"
'262959952539291649',RT @HurricaneiSandy: DIS BITCH WAS LIKE I'M DYING AT HURRICANE SANDY TWEETS AND I'M LIKE YOU ABOUT TO BE DYIN IN REAL LIFE HOE.,"[0, 1]"
'262569456545443840',"@omgKangaroos From someone that lives in Louisiana, when a hurricane comes get shitty drunk.","[0, 1]"
'262587467885060096',"RT @johnreport: To those dealing with Hurricane Sandy, be smart and be careful. Here in southern Ontario we'll feel the rain, but nothin ...","[0, 1]"
'262887975480852481',I hate #sandy because it closed my favorite part of life. The markets. Damn you hurricane damn you.,"[0, 1]"
'262603339617935361',RT @emilycarriethoo: Im really not worried about this hurricane..,"[0, 1]"
'262773915301056513',Sending good thoughts and energy to our East Coasters who are about to face hurricane Sandy. #Frankenstorm,"[0, 1]"
'263102827415617536',I'm actually gonna attempt to go to sleep if I can stop shaking and wake up and take more pictures #fuckyousandy #goodnight,"[1, 0]"
'262744266625925120',@lilBit_wDaJuice anything to keep a smile on your face ; ),"[1, 0]"
'262852607016595456',Hurricane Sandy to Put 50 Million People at Risk http://t.co/XVLaXaIk,"[0, 1]"
'262828597742546944',“@TweetSmarter: 5 Live East Webcams You Can Watch Watch Hurricane Sandy on: http://t.co/iHZlBOQr” - 69p well spent,"[0, 1]"
'262597079988322304',RT @TheReal_Tdollaz: @AHurricaneSandy: I WENT TO HIGHSCHOOL WIT IRENE. SHE CAN'T EVEN TWERK. SHE AIN'T BOUT DAT HURRICANE LYFE.,"[1, 0]"
'262746658494894081',RT @SandysHurricane: FOUR FOR YOU HURRICANE SANDY! YOU GO HURRICANE SANDY! AND NONE FOR HURRICANE IRENE BYE.,"[0, 1]"
'262892853200572417',@Lilbrosekee_24 crackin the f up over hurricane jokes (: i lovee herr,"[0, 1]"
