tweet_id,text,labels
768405087051976704,the local king waited time to send the army to help the villages where the earthquake hit,"[1, 0, 0, 1]"
768412466850177024,we are already trying to gather some stuff for the people affected by the  cardinal earthquake  cardinal more like food and clothes,"[1, 0, 0, 0]"
768482309943152640,"praying for gpe. devastating. deadly earthquake rocks loc ,  org involved in rescue https :  / t.co / click via  at your terminal .","[1, 0, 0, 1]"
768504712102547456,death toll rises to cardinal in gpe - the norp army has been deployed to aid earthquake-affected areas. https :  / t.co / ez6x9lanl7,"[1, 0, 0, 1]"
768358083177418753,org search and rescue teams help survivors amid rubble after  gpe gpe  gpe earthquake.  at your terminal or  at your terminal federation https :  / t.co / t9yvzx7wqp,"[1, 0, 0, 1]"
768412294900441088,"cardinal breaking :  cardinal  cardinal italyearthquake has killed cardinal , cardinal displaced  cardinal gpe ready to help army  cardinal see https :  / t.co / id","[1, 0, 0, 1]"
768366800744673280,money earthquake  money gpe  moneymoneyorg. people turned up to give blood to wounded  ( photo  at your terminal device ) .  money humanity https :  / t.co / c,"[1, 0, 0, 0]"
768435745455341569,org still searching for survivors :  person of the little red cross tells org' person :  / t.co / 4m2ctdueqn,"[1, 0, 0, 1]"
768486394910089216,"gpe - bound partners sorting data  and p ;  org for incoming test team of cardinal ). person ,  then on to the zone. https :  / t.co / id","[1, 0, 0, 1]"
768360296595488768,"gpe gpe  gpe earthquake :  org forces ,   gpe and and .  gpe fethullahgulen  gpe news https :  / t.co / news https :  / t.co / id","[1, 0, 0, 1]"
768407796337479680,"# italyearthquake :  church sends aid ,   at your terminal caritasitaliana volunteers in  # to deliver food and basic services https :  / t.co / tt","[1, 0, 0, 1]"
768443206895828992,"photo :  water collected for earthquake victims ,  in fact ,  gpe - in life via facebook via  at your terminal breaking","[1, 0, 0, 0]"
768323535588696064,money gpe  money back  at your terminal crocerossa emergency team moneymoneyive.  money volunteers support affected by  money earthquake  at your terminal product https :  / t.co / info,"[1, 0, 0, 1]"
768381874896973825,"gpe earthquake :  org morale ,  trained and org hit hard :  a massive earthquake rocked a small . https :  / t.co / id","[1, 0, 0, 1]"
768488362353098752,org firefighters to help in gpe ##se rescue - date mail -- cardinal : cardinal https :  / t.co / i,"[1, 0, 0, 0]"
768418420060745728,our disaster desk is active for earthquake activity date. volunteers are monitoring. volunteers please report in to .  cardinal - via  ^ .,"[1, 0, 0, 1]"
768464570537111552,cardinal refugees in  cardinal gpe volunteers in emergency relief following earthquake  cardinal org  cardinal rescuehumanity https :  / t.co / see,"[1, 0, 0, 1]"
768390890226200576,"cardinal raised for gpe earthquake victims ,  target cardinal , cardinal please donate https :  / t.co / be   at your terminal line  at your terminal or  at your terminal please","[1, 1, 0, 0]"
768393091371896833,ordinal  at your terminal caritasitaliana aid already on its way after  # and https :  / t.co / id,"[1, 0, 0, 1]"
768435156935909376,cardinal gpe - search and rescue earthquake team on way to  cardinal italyearthquake.  cardinal cardinal  cardinal cardinal  cardinal humanitarian  cardinal aid  cardinal date https :  / t.co / lfsw3wtbtu,"[1, 0, 0, 1]"
768354192578768896,thanks god my friend and her family are ok.  their house is earthquake-proof and now they are hosting who needs shelter.,"[1, 0, 0, 0]"
768499185981255681,these volunteers head out to help earthquake-stricken date https :  / t.co / id,"[1, 0, 0, 1]"
768359054276108288,date the town is gone'   at your terminal while operations team prepared to respond to a cardinal magnitude earthquake in gpe. https :  / t.co / cwjajv1he4,"[1, 0, 0, 1]"
768367340312338432,a major earthquake has struck central gpe and red cross search and rescue teams are racing to help survivors. https :  / t.co / id,"[1, 0, 0, 1]"
768465822662656002,pope sends in firefighters to help rescue operation after devastating earthquake https :  / t.co / uk. https :  / t.co / id,"[1, 0, 0, 0]"
768315293487824896,"# italy  # look  at your terminal crocerossa cardinal relief units and rescue dogs ,  time on their way to respond to major  # earthquake  at your terminal roteskreuz_de","[1, 0, 0, 1]"
768332398820032512,active numbers of the contact center of the civil protection :  date  civil protection person :  date  cardinal earthquake,"[1, 0, 0, 0]"
768416445931909121,passing cardinal of org and emergency vehicles and buses on road out of gpe to earthquake zone.  # italyearthquake,"[1, 0, 0, 1]"
768379217318907904,"the private message person offers person ,  search and rescue assistance after that https :  / t.co / uk https :  / t.co / 8mc5t8gcfx","[1, 0, 0, 1]"
768313152098410496,volunteers from  at your terminal school are helping people stay safe after a big  cardinal earthquake has struck in central  cardinal gpe.,"[1, 0, 0, 1]"
768546924047642624,our government expresses dismay at your terminal death-victims in gpe and offers humanitarian aid :  image :   the org. https :  / t.co / id,"[1, 0, 0, 1]"
768527647945072640,"friends and followers ,  please help me share this ,  we are raising money for  # italyearthquake  https :  / t.co / org https :  / t.co / facebook","[1, 0, 0, 0]"
768584656388173824,"org ,  people race to save survivors of gpe money :  the cardinal magnitude wave struck quantity northeast of gpe and killed at your terminal .","[1, 0, 0, 1]"
768532846256488448,"t-mobile makes calls ,  texts from gpe to gpe free in aftermath of deadly earthquake https :  / t.co / kgubh7rjfc  ( via  at your terminal newsfusionapps  # tech new","[1, 0, 0, 0]"
768526488790446080,gpe have a big earthquake and cardinal people get killed and the leader of the country joins the  army to help out.,"[1, 0, 0, 1]"
