tweet_id,text,labels
768405087051976704,The Italian gvt waited 10 HOURS to send the army to help the villages where the earthquake hit,"[1, 0, 0, 1]"
768412466850177024,We are already trying to gather some stuff for the people affected by the #earthquake #terremoto like food and clothes,"[1, 0, 0, 0]"
768504712102547456,Death toll rises to 84 in Italy - The Italian army has been mobilized to aid earthquake-affected areas. https://t.co/Ez6X9LAnl7,"[1, 0, 0, 1]"
768358083177418753,Red Cross search and rescue teams help survivors amid rubble after #Italy #Earthquake. @crocerossa @Federation https://t.co/t9Yvzx7wqp,"[1, 0, 0, 1]"
768412294900441088,"#BREAKING: 6.2 #ItalyEarthquake has killed 37 2,500 displaced #France ready to help army #rescues https://t.co/iUFxblAZAM","[1, 0, 0, 1]"
768366800744673280,#Earthquake #Italy  Rieti hospital. People queue up to give blood to wounded (photo @daniele_dav). #Humanity https://t.co/KBPeSVLCxu,"[1, 0, 0, 0]"
768435745455341569,Italy Red Cross still searching for survivors: Tommaso Della Longa of the Italian Red Cross tells CNN's Isa S... https://t.co/4m2ctdueQN,"[1, 0, 0, 1]"
768486394910089216,"Italy - Rotary partners sorting transp &amp; accom for incoming SBox team of 3 tmrw. Arr Rome, then on to quake zone. https://t.co/KDBfv134ns","[1, 0, 0, 1]"
768360296595488768,"#Italy #Earthquake: Army mobilized, #Amatrice and ... #FethullahGulen #news https://t.co/hIzPMxYSy8 https://t.co/W4b1DdpTvH","[1, 0, 0, 1]"
768407796337479680,"#ItalyEarthquake: Church sends aid, @CaritasItaliana volunteers in #Rieti deliver food and basic necessities https://t.co/UWt7me4W1t","[1, 0, 0, 1]"
768443206895828992,"Photo: Water collected for earthquake victims, in Rieti, Italy - Rieti Life via Facebook via @Breaking","[1, 0, 0, 0]"
768323535588696064,#Italy #RedCross @crocerossa emergency centrs mobilized. #volunteers support affected by #earthquake @roteskreuz_de https://t.co/GofFpJvHzy,"[1, 0, 0, 1]"
768381874896973825,"Italy Earthquake: Army Mobilized, Amatrice and Accumoli Hit Hard: A 6.2-magnitude earthquake rocked a swath o... https://t.co/XIxv4PWK62","[1, 0, 0, 1]"
768488362353098752,Pope dispatches Vatican firefighters to help in Italy quake rescue - Daily Mail -- 15:24 https://t.co/0VqSsinCcs,"[1, 0, 0, 0]"
768418420060745728,Our disaster desk is active for earthquake activity today. Volunteers are monitoring. Volunteers please report in to Skype #hmrd via ^ct,"[1, 0, 0, 1]"
768464570537111552,#Refugees in #Italy volunteering in emergency rescues following earthquake #solidarity #RescueHumanity https://t.co/HEAAuL2M1r,"[1, 0, 0, 1]"
768354192578768896,Thanks God my friend and her family are ok.  Their house is earthquake-proof and now they are hosting who needs shelter.,"[1, 0, 0, 0]"
768359054276108288,'Half the town is gone'  @ShelterBox operations team prepared to respond to a 6.2 magnitude earthquake in Italy. https://t.co/CWjajV1he4,"[1, 0, 0, 1]"
768367340312338432,A major earthquake has struck central Italy and Red Cross search and rescue teams are racing to help survivors... https://t.co/eiWMhEJ3Xv,"[1, 0, 0, 1]"
768465822662656002,Pope sends Vatican firefighters to help rescue operation after devastating earthquake https://t.co/UySRwf8H0K... https://t.co/rXOxfr2Q9D,"[1, 0, 0, 0]"
768332398820032512,Active numbers of the contact center of the Civil Protection: 800840840  Civil Protection Lazio: 803555 #earthquake,"[1, 0, 0, 0]"
768313152098410496,Volunteers from @crocerossa are helping people stay safe after a big #earthquake has struck in central #Italy.,"[1, 0, 0, 1]"
768546924047642624,Ecuadorian government expresses dismay at quake-victims in Italy and offers humanitarian aid: Image:  The Ecu... https://t.co/qrdbTcSX5I,"[1, 0, 0, 1]"
768527647945072640,"Friends and followers, please help me share this, we are raising money for #ItalyEarthquake  https://t.co/yVox9EqgsA https://t.co/HcebLuBZwn","[1, 0, 0, 0]"
768584656388173824,"Army, Rescuers Race to Save Survivors of Italy Quake: The 6.2 magnitude quake struck about 100 miles northeast of Rome and killed at ...","[1, 0, 0, 1]"
768532846256488448,"T-Mobile makes calls, texts from U.S. to Italy free in aftermath of deadly earthquake https://t.co/KguBh7RjFc (via @NewsfusionApps #Tech New","[1, 0, 0, 0]"
768506782096453632,There is a relief fund set up by the Italian Red Cross for the population hit by the dramatic earthquake this... https://t.co/R4Apjttizg,"[1, 0, 0, 1]"
768604463808458752,CBC TORONTO: 'Calls are coming in from everywhere': Torontonians sending aid to Italian earthquake zone https://t.co/ejQ3AGI3xQ,"[1, 0, 0, 0]"
768509338147098624,#Pope #Catholics Pope dispatches Vatican firefighters to help in Italy quake rescu...: Earli... https://t.co/GJd3t7SJbX #UniteBlue #Tcot,"[1, 0, 0, 0]"
768614281684189184,The @niaforg is raising money to help Italy's earthquake victims. Donations accepted https://t.co/VoRuQmTEBQ https://t.co/VBAmEACmiK,"[1, 1, 0, 1]"
768575191198806016,volunteers from everywhere in Italy are reaching the area of earthquake to help. We show our best in tragedies. ,"[1, 0, 0, 0]"
